GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US39061,401343,168124,71797,92717,19987,48718
0500000US39063,37944,12796,6176,8034,2750,8188
0500000US39081,27206,8075,5621,6069,2596,4845
0500000US39085,119118,44919,18909,28304,9814,17172
0500000US39089,83809,29074,15074,20900,6820,11941
0500000US39093,140696,48603,24799,32666,12487,22141
0500000US39095,202443,69209,40388,48413,13647,30786
0500000US39099,101609,34080,17954,25476,8634,15465
0500000US39101,26011,6015,5825,5951,2049,6171
0500000US39103,94406,38054,13446,22723,7214,12969
0500000US39109,50991,17429,7827,10775,3618,11342
0500000US39113,244818,86974,47552,57395,15428,37469
0500000US39119,38577,8639,7486,10606,3298,8548
0500000US39133,81151,25927,15298,19444,6707,13775
0500000US39139,50267,13183,10450,11396,4536,10702
0500000US39141,31416,9260,7261,6816,2153,5926
0500000US39145,29665,10233,6448,5995,2642,4347
0500000US39151,179626,58456,33605,43340,14678,29547
0500000US39153,263453,97438,47325,69796,15336,33558
0500000US39155,87928,25825,18167,20022,7576,16338
0500000US39157,43529,10387,7220,8821,4521,12580
